headline,review,rating
Nice product,Awesome,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Ok,Good,4.0 out of 5 stars
Money saving,Money saving chance,4.0 out of 5 stars
Good,Nothing to dislike.,4.0 out of 5 stars
Na,Na,5.0 out of 5 stars
Good,My all family used Colgate,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Super,Super,4.0 out of 5 stars
Good product,Value for money,4.0 out of 5 stars
Nice,Nice,4.0 out of 5 stars
coool as ususal,using this flavour since childhood its my best one,5.0 out of 5 stars
Good quality,Good product,4.0 out of 5 stars
BEST QUALITY,USING SINCE LONG TIME.. BEST FLAVOUR,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Nice Colgate, Good dlevary,5.0 out of 5 stars
No brush,No tooth brush inside the pack,3.0 out of 5 stars
SAVING,Achcha Hai.,4.0 out of 5 stars
This good product price 180 rs,I think you buy now but price 200rs.,3.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good deal,Good deal,5.0 out of 5 stars
Na,Superb,5.0 out of 5 stars
Original product,Value for money,5.0 out of 5 stars
Quality n price,Quality of product is ok,4.0 out of 5 stars
Very nice 👍,Nice product,4.0 out of 5 stars
Protects teeth enamel,On prolonged use one can feel the increased strength of teeth enamel,5.0 out of 5 stars
Satisfactory,Value,5.0 out of 5 stars
Colgate brand is ultimate,It's value for money. Colgate brand instilled confidence. Keep it up.,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Thank you for Amazon,Value for money,5.0 out of 5 stars
Taste issue.,"Received the package. All good but i dont like the taste.
Taste is little bit different from those I have used it before. Is it a duplicate product? I m curious.",3.0 out of 5 stars
Super,Super,4.0 out of 5 stars
Khoda pahaad nikla chuha..😆,Giving Jumbo Box for tiny product like a premium product..but only Colgate 😆😆,4.0 out of 5 stars
Good,Value for money,5.0 out of 5 stars
5 Star 🌟,5 Star 🌟,5.0 out of 5 stars
Good p,Good prodect,4.0 out of 5 stars
Toothpaste ..,Took to long to get. Work like toothpaste. Teeth feels clean ..,4.0 out of 5 stars
Ok,योग्य किंमत,3.0 out of 5 stars
Nice product,I like it really...its cheap from d mart also and with long expiry,5.0 out of 5 stars
Best deal,Best deal,5.0 out of 5 stars
Colgate,Amazing packaging and nice product,5.0 out of 5 stars
Amazon charged me an amount more than marked as MRP,"The product Colgate tooth paste is, as expected, good quality. However, to my surprise Amazon charged me Rs 342 for a product which has Rs 325 marked as MRP. This is a wrong practice, charging a consumer more than a price marked as MRP. Please refer to the attached photograph.",2.0 out of 5 stars
Fine,Enjoyed to use,4.0 out of 5 stars
Good,Like,4.0 out of 5 stars
Just ok,Give 3 star in quality,4.0 out of 5 stars
It was good.,It was good.,5.0 out of 5 stars
Great,,4.0 out of 5 stars
Colgate is best then rest,"Colgate toothpaste is good, for teeth, should be little more mint",4.0 out of 5 stars
Price,Excellent,5.0 out of 5 stars
Packet delivered open condition,The tooth paste was delivered in open conditition,2.0 out of 5 stars
Value for money,"Good, value for money.",4.0 out of 5 stars
Value,Its value for money pack.,5.0 out of 5 stars
Good,Low price and best paste 👍👍👍👍👍,5.0 out of 5 stars
Good quality,,5.0 out of 5 stars
Orignal product,The product is original of colgate company,5.0 out of 5 stars
Average,Product average. But not bad in this price segment.,4.0 out of 5 stars
GREAT PRODUCT👌👌👌,GREAT PRODUCT👌👌👌,5.0 out of 5 stars
good!,good!,3.0 out of 5 stars
Classic,Nothing beats the classic!,5.0 out of 5 stars
Value for money.,Fresh item and hasselfree supply.,5.0 out of 5 stars
Value pack,Value for money at offer price,5.0 out of 5 stars
Calcium Boost Good but Better Colgate Amino Shakti,Calcium Boost Good but Better Colgate Amino Shakti,4.0 out of 5 stars
Very nice,Valuable product,4.0 out of 5 stars
Purfect,Infetion,3.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good product.,Good product. My family only uses Colgate dental products.,4.0 out of 5 stars
Nice one,Better than others,5.0 out of 5 stars
Good,I purchased this product for my family and it's a good product,4.0 out of 5 stars
MRP SE BHUT SASTA, Very nice,5.0 out of 5 stars
Perfect product,Perfect pacaging,5.0 out of 5 stars
Good as always...,Colgate toothpaste is always good as it was before.,4.0 out of 5 stars
Good,Colgate toothpaste is good and taste is also good. Thanks seller,4.0 out of 5 stars
Issues with Buy 3 get 1 free deals,"I purchased this Colgate toothpaste in January to use it over a period of 6 months or so. This special deal comes with 4 individually packed toothpaste tubes. The first 3 packets I used over a period of 4 to 5 months were fine. However, the toothpaste tube in the last packet I opened after about 5 months was damaged. By this time the return period was over. Hence, I do not have any option other that writing this review. I have purchased such deals in the past. However, this is the first time I had this issue. So my rating is only for this consignment.",3.0 out of 5 stars
Need more improvement,After using 3 months I didn't get any improvement in my teeth whitening also taste would be better .,2.0 out of 5 stars
old pack of 2/5 so very bad,My orders 5 new pack but delivery on 2 old package.... so west of money,3.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Awsome,Awsome,5.0 out of 5 stars
Good deal,Nice deal best at this price,5.0 out of 5 stars
good quality,colgate toothpaste freshness and flavor is very good and colgate visible white tooth brush and toothpaste is also very very good,5.0 out of 5 stars
Purchase Date 27 July 2022, Smell Good & Packing Good Overall Good Buying Just 192 on Prime Day Sale . Worth It .,4.0 out of 5 stars
Good product,Decent product,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
When I got this pack it was only MRP 270 whereas Amazon took RS 293 from me like what the hell,Yes it's ok for product,3.0 out of 5 stars
Bad Product,Product & shopkeeper both are bad...,1.0 out of 5 stars
Good product at great price.,Product is good for big family. 3+1 is great offer with discounts.,4.0 out of 5 stars
Nice product,Nice,5.0 out of 5 stars
Fast delivery 👍🏻,Freshness,5.0 out of 5 stars
This one is good,"Colgate plain one is way better than those other varieties of colgate toothpaste like the charcoal, transparent red and blue ones.",4.0 out of 5 stars
As expected,Colgate toothpaste. Standard fixture in the house. Everyone likes it.,5.0 out of 5 stars
Flavor,Notfreshness,5.0 out of 5 stars
Very nice product,Very nice product,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
What to say..,"What to say about it.
It is after all Colgate.
It is the best out there.",5.0 out of 5 stars
Very good product,Bahut achcha swad he,5.0 out of 5 stars
cost effective,I am using it since childhood since no allergies and no change in quality. Don't know about effectiveness as many ofbus using it but getting teeth problems occasionally..,4.0 out of 5 stars
One pack of colgate came out empty,"One pack came out empty ..
Really disappointed
I want refund for this product ASAP",5.0 out of 5 stars
Excellent,Nothing to say for Colgate,4.0 out of 5 stars
DOVE. Oil ( skins essantial). Tooth paste. ( 4 straight white teeth every day. Fresh inside)..,"Received every thing. From the reception. On 9th May. In General. PONDER. Can you have a "" thief"", OR, thieves, in a world , where, AIR AIR , is the favourite GAME. ? And, Can, u have 80% of "" England's entertainment world complete, minus ""such a POLICE?"" & Inclusive of just "" such choosen CRIME?"". ??????? In an act registered world we live, every action, before being initiated , needs a lot of pondering/ thinking, from the executioner, reason, it socially adds up to his/ her/ its choosen deeds. KARMA. Thank You.",5.0 out of 5 stars
Satisfied with your product,After all it's Colgate product,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
👍,👍,4.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Poor quality,Paste is full of liquid inside. It seems that water has poured into it. That's why it is cheaper.,1.0 out of 5 stars
Good product,Got it at a terrific price and really I am liking this tooth paste and it has really helped me overcome my bad breath,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Normal colgate tooth paste,Manageably good,4.0 out of 5 stars
Great deal,Value for money,5.0 out of 5 stars
Great toothpaste,"Colgate is my favorite toothpaste and Amazon has given me this amazing offer, I ordered it and it came the other day, thank you Amazon🙏",5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Very Good,Trust this brand,5.0 out of 5 stars
White Glitter,"I like this product. It really good for use, Value for money.",4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Great value for money product.,Good value for money product. Highly recommend it.,5.0 out of 5 stars
