headline,review,rating
Shampoo,Its ok,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Value for money,I bought only 150,5.0 out of 5 stars
Best,Best,5.0 out of 5 stars
Awesome,Awesome,5.0 out of 5 stars
Prevent hair fall,It prevents hair fall,5.0 out of 5 stars
Head and shoulder shampoo,good buy at reasonable price delivered in 2 days,4.0 out of 5 stars
Shampoo,Good,5.0 out of 5 stars
Best,Best,5.0 out of 5 stars
Shampoo,"The product is very good.
It's amazing.
Using since last year.",5.0 out of 5 stars
Good good,Good good,4.0 out of 5 stars
Fastest delivery,Good quality product at the price lower than the market.,5.0 out of 5 stars
shirt,good quality,5.0 out of 5 stars
1st time got fake product from seller," I have been buying head and shoulder shampoo regularly, but this time the bottle was filled only with water... I'm very disappointed",5.0 out of 5 stars
Best deal,Good product,4.0 out of 5 stars
Good,Good quality product. All are used my family.,5.0 out of 5 stars
Excellent,It was not sealed so next time please check and send sealed items otherwise no problem everything ok delivery also on time,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Bottle Quality Low,"Product is good, but bottle is not, bottle must be better quality",4.0 out of 5 stars
It's Heads & Shoulders.,Nice as usual. Have been using this from two decades almost.,5.0 out of 5 stars
Nice product,Purchase only rs 149 one litter,4.0 out of 5 stars
Value of money,Good product 👍,4.0 out of 5 stars
Nice go,Good sampoo,4.0 out of 5 stars
Good,"Best shampoo i bought it (1 ltr) on 172 rupees only.
best product in this price",4.0 out of 5 stars
Good,Nice product.,4.0 out of 5 stars
Best price,Best for oily hairs ..small amount can clear all oil and dust,4.0 out of 5 stars
Nice,Nice product,5.0 out of 5 stars
Best quility,Good product recive at 99₹ only,4.0 out of 5 stars
Super deal,Very good and genuine product.,5.0 out of 5 stars
Value for money,Value for money,5.0 out of 5 stars
Very nice shampoo and bought in chepest price ever,Best shampoo i bought it(1 litre) on 139 rupees only (99+40 shipping charges) best product in this price,4.0 out of 5 stars
No doubt great product,Really great,5.0 out of 5 stars
value for money,"mujhe ye sampoo bahot pasand aaya maine 1mahine pahle thora saste me kharid liya
1mahine se use kr rha hu bahot soft hai",5.0 out of 5 stars
Very good,Good product,5.0 out of 5 stars
"packing too bad, And defect in bottle",,3.0 out of 5 stars
Awesome, Wow,3.0 out of 5 stars
Best product,Really awesome product,5.0 out of 5 stars
Value for money, Product is good and also good for 400 rs .if price goes below that that you can consider it,4.0 out of 5 stars
Sampoo,Very nice,5.0 out of 5 stars
Good shampoo,Nice product,4.0 out of 5 stars
Worth every penny,With this price Quantity impressed me,5.0 out of 5 stars
Bad product,I don't like this product because I had ordered without Condisner but i get with Condisner. And it is also in blueish colour.,2.0 out of 5 stars
Amazing product,"Amazing product, I got this product for an amazing price and delivery was fast too with sturdy packing",5.0 out of 5 stars
Got it today and packing is superb and don't worry buy it it . Believe on my review 😊😊😊, Got it today and packing is superb and don't worry buy it it . Believe on my review 😊😊😊,4.0 out of 5 stars
Good,Good product,5.0 out of 5 stars
Good product,Good product,5.0 out of 5 stars
nice product 😊,"good product.i buy it for 190 only
also packing is also good.",5.0 out of 5 stars
