headline,review,rating
This pen has waterproof ink 👍,I love this product's quality! the body of the pen is very beautiful and handwriting is also good when write ✍️.,4.0 out of 5 stars
Nice,Handwriting is so perfect,4.0 out of 5 stars
Ya super sumth,Yes all ways don,4.0 out of 5 stars
Waterproof,Good pens,4.0 out of 5 stars
Good,Good quality,4.0 out of 5 stars
Nice product,Nice product,4.0 out of 5 stars
nice one,good one. my kids loved it.,5.0 out of 5 stars
Quality,Smooth and easy to write,5.0 out of 5 stars
YES,GOOD,5.0 out of 5 stars
Nice,Was much appreciated by my students,4.0 out of 5 stars
Disappointed in packaging,Product is nice but it is not packed..,4.0 out of 5 stars
Best,Pens are of good quality.,5.0 out of 5 stars
Nice pen,Nice pen,5.0 out of 5 stars
I like this and this doesn’t have neon gel ink this is blue gel ink,I like this,4.0 out of 5 stars
Works like a charm,Works like a charm. Smooth. Light weight. Easy to hold. Good!,5.0 out of 5 stars
Value for money,good product at this price.,5.0 out of 5 stars
Gud one....,,5.0 out of 5 stars
Must buy 👍,"Just wow ! So happy to got these amazing pens 🤩, thank you Amazon 🙏🌼",5.0 out of 5 stars
Pen is the most interesting part of student learning,Like it but price is high,4.0 out of 5 stars
Gel pen,Awesome Gel pen,5.0 out of 5 stars
Very nice products,I'm happy,5.0 out of 5 stars
My hand is not paind after using these pens,These pens colour or very Shiny and this pen all not paint my hands and it's colour is very Shiny to write the pens,3.0 out of 5 stars
Excellent pens,"Really very good pens, you should definitely have atleast one pen, works smoothly, these are gel pens.",5.0 out of 5 stars
Gel doesn't come fast,Depends on ur ability to write fast,3.0 out of 5 stars
Nice..,"All are blue in colour, but overall nice product",5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good,,4.0 out of 5 stars
Good,Worth for money,5.0 out of 5 stars
Very good product,Very good product,5.0 out of 5 stars
Smooth,Smooth writing,5.0 out of 5 stars
.,Worthy,5.0 out of 5 stars
The Pens’ Tips are quite coarse/rough,Does not give softer touch for smooth writing!,3.0 out of 5 stars
Good...but refil doesn't lasts long,"It is a good pen.smooth, water proof,",4.0 out of 5 stars
Good for writing but less ink,Good for writing but less ink,3.0 out of 5 stars
Good,Nice 👍,5.0 out of 5 stars
Perfect,Best pens I ever had,5.0 out of 5 stars
Okk product,Ok,3.0 out of 5 stars
Good, I just love this product I just used it twice but the problem is 🤓according to a student 1pen just works for a week🤧! This is what I dislike about it though I buyed it twice😳,4.0 out of 5 stars
Cute,Smooth like butter like criminal under cover,5.0 out of 5 stars
Ok,Like,4.0 out of 5 stars
Nice,,5.0 out of 5 stars
Very good product ☺️,Very good product,5.0 out of 5 stars
Very good!,Very good!,5.0 out of 5 stars
Exact as shown,All the pens write perfectly well.,5.0 out of 5 stars
Good pens,Very nice pens,3.0 out of 5 stars
All good 👍,"Good product.
Found count 20",5.0 out of 5 stars
Amazing,Mind blowing.. so smooth..never had a pen like this before..so colourful and happy to write..thanks a lot for this wonderful product..and cheap too,5.0 out of 5 stars
Not bad,As one would expect. Little expensive.,4.0 out of 5 stars
Jordar,Bhai bhai,5.0 out of 5 stars
Good one, Good,3.0 out of 5 stars
Smooth handwriting,I like it's design,5.0 out of 5 stars
Value for money good one,"Value for money
Buy again and again",5.0 out of 5 stars
Pen,Good,5.0 out of 5 stars
Good product,Thank you Amazon,4.0 out of 5 stars
Nice ball pen,Very nice ball pen,4.0 out of 5 stars
Suberb,Very smoothy,5.0 out of 5 stars
Great,Superb pen must buy,5.0 out of 5 stars
Nice,,4.0 out of 5 stars
Its fun,Good little gift for kids,5.0 out of 5 stars
